"","date","state.abbr","positive","negative","pending","hospitalizedCurrently","hospitalizedCumulative","inIcuCurrently","inIcuCumulative","onVentilatorCurrently","onVentilatorCumulative","recovered","lastUpdateEt","dateModified","checkTimeEt","death","dateChecked","hash","state","Positive_Increase"
"34",2020-06-30,"NH",5760,112538,NA,34,565,NA,162,NA,NA,4435,"6/29/2020 09:00","2020-06-29T09:00:00Z","06/29 05:00",367,"2020-06-29T09:00:00Z","696a7134bd86d2ea5452a8fc24017d8c94894bbe","New Hampshire",NA
"35",2020-06-30,"NJ",171667,1250707,NA,992,19847,211,NA,174,NA,30213,"6/30/2020 13:00","2020-06-30T13:00:00Z","06/30 09:00",15035,"2020-06-30T13:00:00Z","1846fc0675a5d0f27e9c6e1e2c2640ceeea62dd2","New Jersey",NA
"36",2020-06-30,"NM",11982,325738,NA,119,1876,NA,NA,NA,NA,5296,"6/29/2020 17:30","2020-06-29T17:30:00Z","06/29 13:30",493,"2020-06-29T17:30:00Z","4afa4982d10274d2f775906ff8e6cf87af50700e","New Mexico",NA
"37",2020-06-30,"NV",18456,259112,NA,593,NA,134,NA,65,NA,689,"6/30/2020 11:30","2020-06-30T11:30:00Z","06/30 07:30",507,"2020-06-30T11:30:00Z","f25f4ea81757a739acc6670a65bf1f101321f2e7","Nevada",NA
"38",2020-06-30,"NY",393454,3521484,NA,891,89995,217,NA,137,NA,70487,"6/29/2020 00:00","2020-06-29T00:00:00Z","06/28 20:00",24855,"2020-06-29T00:00:00Z","76b8174f24f44025b1031c2653bd5c3c9e0dbcea","New York",NA
"39",2020-06-30,"OH",51789,736140,NA,722,7839,242,1994,115,NA,NA,"6/30/2020 14:00","2020-06-30T14:00:00Z","06/30 10:00",2863,"2020-06-30T14:00:00Z","3eb549012a1897417717cb6a10b9b9f391b0f5a8","Ohio",NA
"40",2020-06-30,"OK",13757,327840,NA,315,1520,111,NA,NA,NA,10085,"6/29/2020 08:00","2020-06-29T08:00:00Z","06/29 04:00",387,"2020-06-29T08:00:00Z","6711af31b212237894b1f4a8bf06c3882645b738","Oklahoma",NA
"41",2020-06-30,"OR",8656,228978,NA,149,1038,42,NA,25,NA,2722,"6/30/2020 03:01","2020-06-30T03:01:00Z","06/29 23:01",207,"2020-06-30T03:01:00Z","b2301c7ff6bf9ddbef425b799a4f2b51611867a6","Oregon",NA
"42",2020-06-30,"PA",86606,677581,NA,634,NA,NA,NA,110,NA,67552,"6/30/2020 00:00","2020-06-30T00:00:00Z","06/29 20:00",6649,"2020-06-30T00:00:00Z","f85bc47a72c17b6fc91922b84bea30915484fd9a","Pennsylvania",NA
"43",2020-06-30,"PR",7465,NA,NA,102,NA,9,NA,2,NA,NA,"6/30/2020 06:30","2020-06-30T06:30:00Z","06/30 02:30",153,"2020-06-30T06:30:00Z","dbcf12e74c73ddddc13689c4177840c386c8299e","Puerto Rico",NA
"44",2020-06-30,"RI",16813,225469,NA,74,2001,13,NA,13,NA,1631,"6/30/2020 12:00","2020-06-30T12:00:00Z","06/30 08:00",950,"2020-06-30T12:00:00Z","699233f5a068bc019fe62edd9c9a4999ba4a77d5","Rhode Island",NA
"45",2020-06-30,"SC",36399,344173,NA,1021,2854,NA,NA,NA,NA,15471,"6/29/2020 23:59","2020-06-29T23:59:00Z","06/29 19:59",739,"2020-06-29T23:59:00Z","bf4889faadbb7fb5349abaa58b9144722be85b3f","South Carolina",NA
"46",2020-06-30,"SD",6764,73324,NA,62,666,NA,NA,NA,NA,5872,"6/30/2020 12:39","2020-06-30T12:39:00Z","06/30 08:39",91,"2020-06-30T12:39:00Z","663271cd45e550497e1ca5d3bfed55109a55e15c","South Dakota",NA
